レース名,区分,小見出し,結論,source
クイーンカップ,消し,母父,対照的な3頭,2026-06-20_19-24-50.pdf
共同通信杯,買い,騎手,戸崎&ルメールは複勝率5割以上。2回好走の松山は7 & 3人気で馬券に。,2026-06-20_19-24-55.pdf
共同通信杯,消し,前走距離別成績,ダントツの2000m,2026-06-20_19-24-55.pdf
共同通信杯,消し,人気,1勝のみの1番人気,2026-06-20_19-24-55.pdf
京都記念,買い,前走競馬場,重視すべき香港,2026-06-20_19-24-59.pdf
京都記念,買い,騎手,高実績の武豊&藤岡佑,2026-06-20_19-24-59.pdf
京都記念,消し,人気,18年未勝利の2番人気,2026-06-20_19-24-59.pdf
ダイヤモンドステークス,買い,枠番,外枠が8勝,2026-06-20_19-25-05.pdf
ダイヤモンドステークス,消し,馬体重,優好走率の500キロ以上,2026-06-20_19-25-05.pdf
阪急杯,買い,枠番,6～8枠が好調,2026-06-20_19-25-11.pdf
阪急杯,消し,前走人気,1番人気重視,2026-06-20_19-25-11.pdf
オーシャンステークス,買い,前走レース,注目の2レース,2026-06-20_19-25-20.pdf
オーシャンステークス,消し,危険な内枠上位人気,過去10年の上位人は内枠 [2・2・2・11]に対し外枠[5・5・1・2]。2 & 3 枠は8頭中7頭が4着以下,2026-06-20_19-25-20.pdf
チューリップ賞,買い,前走レース,単勝はオープン以上,2026-06-20_19-25-36.pdf
チューリップ賞,買い,種牡馬別成績,オルフェーヴル2頭、ミッキーアイル1頭、ハービンジャー1頭、キズナ1頭,2026-06-20_19-25-36.pdf
チューリップ賞,消し,前走コース,未勝利の東京&中山,2026-06-20_19-25-36.pdf
中山牝馬ステークス,買い,種牡馬,高好走率のルーラー産駒,2026-06-20_19-25-42.pdf
中山牝馬ステークス,買い,勝ちデータ,ルーラーシップ産駒は6頭出走で4頭が馬券圏内。25年に好走したホーエリートその他が出走なら最低でもヒモに入れたい。,2026-06-20_19-25-42.pdf
中山牝馬ステークス,消し,ハンデ,凡走続くトップハンデ,2026-06-20_19-25-42.pdf
中山牝馬ステークス,消し,距離,危険な連対率50%以下,2026-06-20_19-25-42.pdf
フィリーズレビュー,買い,前走距離,高好走率の1600m,2026-06-20_19-25-47.pdf
フィリーズレビュー,消し,キャリア別,キャリア別では3戦と5戦が4勝ずつ挙げているが、4戦は[1・2・3・36]。4戦の上位人気馬は[0・0・1・5]。,2026-06-20_19-25-47.pdf
フィリーズレビュー,消し,上位人気凡走の関東馬,東西別の上位人気では関西馬[5・6・1・12]に対し関東馬[0・1・0・5]。2着は24年1番人気コラソンビート。,2026-06-20_19-25-47.pdf
弥生賞ディープインパクト記念,買い,前走レース別成績,高好走率の2レース,2026-06-20_19-25-52.pdf
弥生賞ディープインパクト記念,消し,枠番,内枠同士の決着皆無,2026-06-20_19-25-52.pdf
スプリングステークス,買い,前走着順,単勝は1着馬、連勝は3着以内,2026-06-20_19-25-57.pdf
スプリングステークス,消し,馬体重,危険な478キロ以下の上位人気,2026-06-20_19-25-57.pdf
金鯱賞,買い,前走着順,4&5着馬が好走,2026-06-20_19-26-02.pdf
金鯱賞,買い,馬体重,500キロ以上を重視,2026-06-20_19-26-02.pdf
第40回 フラワーカップ,買い,前走着順,好走率高い1着馬,2026-06-20_19-26-07.pdf
第40回 フラワーカップ,消し,前走競馬場,危険な左回り出走馬,2026-06-20_19-26-07.pdf
ファルコンステークス,買い,キャリア,4戦5勝、6戦4勝。特に6戦は8番人気が2勝マーク。,2026-06-20_19-26-15.pdf
ファルコンステークス,買い,優勝馬の各実績,各年の優勝馬とその成績を示す。,2026-06-20_19-26-15.pdf
ファルコンステークス,消し,生まれ月,危険な1&5月生まれ,2026-06-20_19-26-15.pdf
ファルコンステークス,消し,前走クラス別成績,各前走クラス別の成績を示す。,2026-06-20_19-26-15.pdf
ファルコンステークス,消し,前走距離別成績,各前走距離別の成績を示す。,2026-06-20_19-26-15.pdf
ファルコンステークス,消し,前走レース別成績,各前走レース別の成績を示す。,2026-06-20_19-26-15.pdf
阪神大賞典,買い,種牡馬,レイデオロ [1・0・0・0],2026-06-20_19-26-20.pdf
阪神大賞典,消し,枠番,内枠不利の一戦,2026-06-20_19-26-20.pdf
愛知杯,買い,年齢,軸は5歳馬,2026-06-20_19-26-25.pdf
愛知杯,消し,騎手,凡走続くカタカナ騎手,2026-06-20_19-26-25.pdf
日経賞,買い,年齢,4&5歳が圧倒的,2026-06-20_19-26-31.pdf
日経賞,消し,騎手,優勝皆無のカタカナ騎手,2026-06-20_19-26-31.pdf
毎日杯,買い,前走クラス,GⅢ&1勝クラス重視,2026-06-20_19-26-39.pdf
毎日杯,買い,前走人気,2&1人気重視,2026-06-20_19-26-39.pdf
毎日杯,消し,前走距離,低調の中京&中京,2026-06-20_19-26-39.pdf
毎日杯,消し,廓舎,上位人気3頭凡走の友道,2026-06-20_19-26-39.pdf
マーチステークス,買い,年齢,6歳馬が好調,2026-06-20_19-26-46.pdf
マーチステークス,消し,馬体重,凡走続く478キロ以下,2026-06-20_19-26-46.pdf
マーチステークス,消し,枠番,32年未勝利の3枠,2026-06-20_19-26-46.pdf
ダービー卿,買い,堆積,5頭好走の堀厩舎,2026-06-20_19-26-53.pdf
ダービー卿,消し,枠番,40年で1勝の8枠,2026-06-20_19-26-53.pdf
チャーチルダウンズカップ,買い,枠番,高実績の外枠,2026-06-20_19-27-03.pdf
チャーチルダウンズカップ,消し,前走着順,単勝危険な1着馬,2026-06-20_19-27-03.pdf
ニュージーランドトロフィー,買い,内枠が好調・外枠不調,過去10年で内枠（1～4枠）勝&3着以内19頭、4月開催26年でも内枠18勝&3着以内47頭。外枠同士の決着は3回のみ。,2026-06-20_19-27-07.pdf
ニュージーランドトロフィー,消し,馬体重,未勝利の458キロ以下過去26年で21勝&2着19頭の460～498キロ。458キロ以下は勝利がなく2&3着も12頭。上位人気12頭中好走3頭のみ。,2026-06-20_19-27-07.pdf
ニュージーランドトロフィー,消し,騎手,ルメールは過去26年で[0・1・0・4]、19～22年と上位人気4頭に騎乗して着外。横山典は通算[3・5・1・8]。,2026-06-20_19-27-07.pdf
阪神牝馬ステークス,買い,注目の松山騎乗馬,松山騎手は全6回騎乗で2勝、単勝回収率548%。川田も10年で8回騎乗・3着以内5回、浜中も2勝マーク。,2026-06-20_19-27-14.pdf
阪神牝馬ステークス,消し,低実績！消去ファクター,勝馬は過去40年でも5頭しかいない。1番人気はグレード制後のみで単勝狙いは危険。,2026-06-20_19-27-14.pdf
阪神牝馬ステークス,消し,前走着順,「牝馬は状態」だが、このレースでは前走2着馬が9頭出走も好走は25年3着ラヴァンダのみ。前走1着馬を重視したい。,2026-06-20_19-27-14.pdf
阪神牝馬ステークス,消し,馬体重,上位480キロ以上は2勝&3着以内7頭だが、上位人気は8頭中3着2頭のみ。上位人気で注目は5勝の420〜478キロ。,2026-06-20_19-27-14.pdf
アンタレスステークス,買い,枠番,5枠ダントツ&外枠好調,2026-06-20_19-28-15.pdf
アンタレスステークス,消し,前走着順,危険な4着以下,2026-06-20_19-28-15.pdf
福島牝馬ステークス,買い,前走レース,過去10年中9年で前走中山牝馬S組が3着以内。小倉牝馬S組も高好走率。,2026-06-20_19-28-20.pdf
福島牝馬ステークス,消し,枠番,全22年で8枠は未勝利、上位人気も[0・1・2・10]。,2026-06-20_19-28-20.pdf
青葉賞,買い,枠番,高実績の内枠,2026-06-20_19-28-24.pdf
青葉賞,買い,前走レース別成績,大寒桜賞、アザレア賞、弥生賞など,2026-06-20_19-28-24.pdf
青葉賞,消し,廃舎,単勝危険な友道&堀,2026-06-20_19-28-24.pdf
フローラステークス,買い,内枠優位の一戦,内枠有利な東京2000mでもあり、1～4枠が優位。3着1頭のみの7枠は過去25年でも[0・1・5・56]と優勝皆無。,2026-06-20_19-28-28.pdf
フローラステークス,消し,前走1着馬,危険な同タイム勝利馬。前走1着馬は[5・4・3・51]だが、同タイム1着馬は15頭中14頭が4着以下。0.1秒以上差をつけた1着馬を重視。,2026-06-20_19-28-28.pdf
フローラステークス,消し,種牡馬,危険な2頭。キズナ産駒は11頭中3着1頭のみ、キタサンブラック産駒は4頭が全滅。2頭の上位人気馬も計4頭が4着以下。,2026-06-20_19-28-28.pdf
マイラーズカップ,買い,前走着順,5着以内を重視,2026-06-20_19-28-32.pdf
マイラーズカップ,消し,枠番,未勝利&凡走の5枠,2026-06-20_19-28-32.pdf
京王杯スプリングカップ,買い,枠番,外枠が9勝マーク,2026-06-20_19-28-39.pdf
京王杯スプリングカップ,消し,前走,好走皆無の4レース,2026-06-20_19-28-39.pdf
ユニコーンステークス,買い,前走クラス,オープン&重賞が9勝,2026-06-20_19-28-45.pdf
ユニコーンステークス,消し,5頭凡走の4倍台,単勝2倍台が4勝、5～7倍未満も3着以内8頭だが4倍台は6頭中17年サンライズノヴァが勝ったのみで低好走率。,2026-06-20_19-28-45.pdf
エプソムカップ,買い,枠番,外枠が好調,2026-06-20_19-28-52.pdf
エプソムカップ,消し,前走クラス,前走GⅠ出走馬は11頭中1勝のみ、リステッド出走馬は23頭中3着以内2頭（未勝利）、3勝クラスも1勝&3着2頭のみ。,2026-06-20_19-28-52.pdf
京都新聞杯,買い,前走クラス,半数以上が1勝クラス,2026-06-20_19-28-57.pdf
京都新聞杯,消し,前走距離,2000m 4勝 & 3着以内9頭、1800m 3勝 & 同10頭、2400m 3勝 & 同5頭。同距離2200mは [0・2・3・13],2026-06-20_19-28-57.pdf
新潟大賞典,買い,ハンデ,56キロ以上が6勝,2026-06-20_19-29-03.pdf
新潟大賞典,消し,人気,未勝利の1&2番人気,2026-06-20_19-29-03.pdf
平安ステークス,買い,騎手,川田将雅と松山弘平が3勝ずつをマーク。2連勝中の松山は過去2年とも優勝馬に初騎乗。,2026-06-20_19-29-10.pdf
平安ステークス,消し,年齢,4歳が4勝&3着以内9頭、5歳が6勝&同12頭。6歳以上は[0・5・4・65]と未勝利、上位人気も6頭が4着以下。,2026-06-20_19-29-10.pdf
平安ステークス,消し,前走距離,前走で同距離1900mに出走した馬は9頭とも全滅。重賞昇格後も3着以内は皆無。,2026-06-20_19-29-10.pdf
葵ステークス,買い,キャリア,6戦が4勝&3着以内9頭,2026-06-20_19-29-15.pdf
葵ステークス,消し,前走レース&クラス別成績,前走1勝クラス出走馬は[2・1・3・38]だが上位人気は5頭中2着1頭のみ。GⅡ&GⅢ出走馬も8頭中1勝のみ。,2026-06-20_19-29-15.pdf
目黒記念,買い,枠番,3～5枠が高実績,2026-06-20_19-31-32.pdf
目黒記念,消し,前走クラス,危険な3クラス,2026-06-20_19-31-32.pdf
函館スプリントステークス,買い,馬体重,5勝の460〜478キロ,2026-06-20_19-31-37.pdf
函館スプリントステークス,消し,前走着順,好走の2&3着馬,2026-06-20_19-31-37.pdf
府中牝馬ステークス,買い,馬体重増減,土2キロ以内が好走,2026-06-20_19-31-41.pdf
府中牝馬ステークス,消し,ハンデ,危険な52&56キロ,2026-06-20_19-31-41.pdf
しらさぎステークス,買い,年齢,5歳&4歳牝馬が好調,2026-06-20_19-32-02.pdf
しらさぎステークス,消し,馬体重,凡走続く520キロ以上,2026-06-20_19-32-02.pdf
ラジオNIKKEI賞,買い,ハンデ,8勝&3着以内18頭の54キロ,2026-06-20_19-32-08.pdf
ラジオNIKKEI賞,消し,前走クラス,全滅のGⅢ,2026-06-20_19-32-08.pdf
函館記念,買い,枠番,好調の1～4枠,2026-06-20_19-32-23.pdf
函館記念,消し,年齢別,5歳が2連対（3着5頭）、5歳以上人気は[1・0・1・7]と低好走率。1着は4 or 6歳を置きたい,2026-06-20_19-32-23.pdf
北九州記念,買い,騎手,団野大成が2勝、川田も6勝の好走率。,2026-06-20_19-32-30.pdf
北九州記念,消し,前走クラス,GⅢ未勝利馬は前走クラス別で3着以内16頭。オープンとGⅡ以上は2勝ずつ。,2026-06-20_19-32-30.pdf
七夕賞,買い,ハンデ,57キロが6勝マーク,2026-06-20_19-32-45.pdf
七夕賞,消し,前走大阪杯出走馬,5頭とも着外,2026-06-20_19-32-45.pdf
小倉記念,買い,前走距離,絶対的な2000m,2026-06-20_19-32-49.pdf
小倉記念,消し,低実績! 消去ファクター,川田騎手騎乗馬,2026-06-20_19-32-49.pdf
函館2歳ステークス,買い,連対率50%の浜中,浜中騎手騎乗馬は17年1番人気カシアスと23年10番人気セルトゲームで1着、25年1番人気ブラックチャリスを勝。,2026-06-20_19-33-06.pdf
函館2歳ステークス,消し,前走位置,危険な4角5番手以下。前走で差し追い込みだった馬は9頭とも凡走。また前走4コーナー4番手以下の人気馬は3頭とも4着以下。,2026-06-20_19-33-06.pdf
函館2歳ステークス,消し,厩舎,上位人気凡走の松永。,2026-06-20_19-33-06.pdf
関屋記念,買い,1～4枠の上位人気,上位人気馬は1～4枠に限られる。,2026-06-20_19-33-11.pdf
関屋記念,消し,低実績! 消去ファクター,前走距離が2マイル以下の馬は消去する。,2026-06-20_19-33-11.pdf
東海ステークス,買い,年齢,4歳6勝、6歳8頭好走,2026-06-20_19-33-17.pdf
東海ステークス,消し,前走コース別成績,阪神ダ1800mで2着、阪神ダ1400mで3着と25着、東京ダ1400mで16着など,2026-06-20_19-33-17.pdf
東海ステークス,消し,種牡馬別成績,ジャスタウェイが2勝、シニスターミスターが1勝など,2026-06-20_19-33-17.pdf
東海ステークス,消し,馬体重増減別成績,馬体重増減+4キロ以上は36頭いるも該当馬無し、3着1頭のみ。,2026-06-20_19-33-17.pdf
アイビスサマーダッシュ,買い,枠番,高実績の外枠,2026-06-20_19-33-22.pdf
クイーンステークス,買い,前走クラス,好調のGI出走馬,2026-06-20_19-33-40.pdf
クイーンステークス,消し,低実績! 消去ファクター,キンカメ&ルーラーシップ産駒,2026-06-20_19-33-40.pdf
エルムステークス,買い,前走レース,6勝のマリーンS,2026-06-20_19-33-44.pdf
エルムステークス,消し,低実績! 消去ファクター,ルメール騎手騎乗馬,2026-06-20_19-33-44.pdf
レパードステークス,買い,枠番,内枠が好調。1～4枠=内枠 [7・5・4・52]に対し5～8枠=外枠[3・5・6・66]。,2026-06-20_19-33-48.pdf
レパードステークス,消し,低実績！消去ファクター,カタカナ&川田騎手の上位人気馬は優勝している。,2026-06-20_19-33-48.pdf
CBC賞,買い,馬体重,圧倒の2項目,2026-06-20_19-33-53.pdf
CBC賞,消し,年齢別成績,5歳が中心,2026-06-20_19-33-53.pdf
中京記念,買い,年齢,5歳が6勝、4歳は人気馬×,2026-06-20_19-34-04.pdf
中京記念,消し,前走着順別成績,7年連続好走の2ケタ着順,2026-06-20_19-34-04.pdf
札幌記念,買い,前走着順,10勝中9勝が4着以下,2026-06-20_19-34-08.pdf
札幌記念,消し,人気,1番人気は14年間未勝利,2026-06-20_19-34-08.pdf
新潟2歳ステークス,買い,廃舎,中内田厩舎の3番人気馬が3勝を挙げている。,2026-06-20_19-34-14.pdf
新潟2歳ステークス,消し,前走上がり,前走上がり1位は3着以内に18頭。前走上がり2位以内に29頭が出走する。,2026-06-20_19-34-14.pdf
キーンランドカップ,買い,枠番,3～7枠が高実績,2026-06-20_19-34-20.pdf
キーンランドカップ,消し,前年3着以内馬,5勝&3着以内14頭,2026-06-20_19-34-20.pdf
新潟記念,買い,枠番,1&8枠が好調,2026-06-20_19-34-26.pdf
新潟記念,消し,馬体重,2着1頭の2ケタ増減,2026-06-20_19-34-26.pdf
中京2歳ステークス,買い,結論,優勝馬に強い上位10厩舎,2026-06-20_19-34-36.pdf
中京2歳ステークス,消し,結論,単勝2倍台の1番人気,2026-06-20_19-34-36.pdf
京成杯オータムハンデ,買い,年齢,5歳が半数勝利,2026-06-20_19-34-41.pdf
京成杯オータムハンデ,買い,優勝馬の実績,ロードクエスト、グラシルク、ミッキーグローリーなどが優勝馬に含まれる,2026-06-20_19-34-41.pdf
京成杯オータムハンデ,消し,年齢別成績,3歳から8歳以上までの各年齢の成績が示されている,2026-06-20_19-34-41.pdf
京成杯オータムハンデ,消し,前走レース別成績,各前走レースでの成績が示されている,2026-06-20_19-34-41.pdf
札幌2歳ステークス,買い,枠番,4・7・8枠が好調,2026-06-20_19-35-20.pdf
札幌2歳ステークス,消し,前走着差,優勝9頭が0.1秒以上,2026-06-20_19-35-20.pdf
紫苑ステークス,買い,枠番,外枠が9勝マーク,2026-06-20_19-35-25.pdf
紫苑ステークス,消し,廃廃舎所属馬,堀厩舎所属馬は6頭全滅、通算でも10頭出走で3着1頭のみ。同厩舎の勝利は9勝（25年）中8月現在まだ牝馬戦に未勝利。重賞79勝中は未出走。牡馬の名厩舎だ。,2026-06-20_19-35-25.pdf
紫苑ステークス,消し,年齢別成績,1番人気 [3・1・2・4],2026-06-20_19-35-25.pdf
紫苑ステークス,消し,2番人気 [3・3・0・4],3番人気 [0・2・1・7],2026-06-20_19-35-25.pdf
紫苑ステークス,消し,5番人気 [2・0・1・7],騎手別成績,2026-06-20_19-35-25.pdf
紫苑ステークス,消し,戸崎圭太 2 - 0 - 2 - 5,C.ルメール 1 - 0 - 1 - 5,2026-06-20_19-35-25.pdf
紫苑ステークス,消し,田辺裕信 1 - 0 - 0 - 8,石川裕紀人 1 - 0 - 0 - 6,2026-06-20_19-35-25.pdf
紫苑ステークス,消し,騎手別成績,坂井瑠星 1 - 0 - 0 - 2,2026-06-20_19-35-25.pdf
紫苑ステークス,消し,橫山典弘 1 - 0 - 0 - 2,岩田康誠 1 - 0 - 0 - 1,2026-06-20_19-35-25.pdf
紫苑ステークス,消し,騎手別成績,橫山武史 0 - 2 - 0 - 3,2026-06-20_19-35-25.pdf
紫苑ステークス,消し,武豊 0 - 2 - 1 - 0,三浦皇成 0 - 1 - 1 - 6,2026-06-20_19-35-25.pdf
紫苑ステークス,消し,騎手別成績,大野拓弥 0 - 1 - 0 - 5,2026-06-20_19-35-25.pdf
紫苑ステークス,消し,津村明秀 0 - 1 - 2 - 3,石橋脩 0 - 0 - 0 - 7,2026-06-20_19-35-25.pdf
紫苑ステークス,消し,騎手別成績,川田将雅 0 - 0 - 0 - 1,2026-06-20_19-35-25.pdf
セントウルステークス,買い,人気,高複勝率の1番人気,2026-06-20_19-35-30.pdf
セントウルステークス,消し,前走距離,中京コース出走馬,2026-06-20_19-35-30.pdf
セントウルステークス,消し,种牡馬,ビッグアーサー,2026-06-20_19-35-30.pdf
チャレンジカップ,買い,種牡馬,ブラックタイドが3頭好走,2026-06-20_19-35-36.pdf
チャレンジカップ,消し,低実績！消去ファクター,社台ファーム生産馬の6月開催の鳴尾記念で位人気は19年2番人気、着順は21年1番人気、レッドガラン5着、20年3着、ギベオン4着、2017年上位人気は12着。,2026-06-20_19-35-36.pdf
第44回 ローズステークス,買い,騎手,川田、ルメール、池添謙一、和田竜、岩田望来、松山弘平、岩田康誠、横山典弘、西村淳也、武豊,2026-06-20_19-35-42.pdf
第44回 ローズステークス,消し,前走着順,凡走続く520キロ以上,2026-06-20_19-35-42.pdf
オールカマー,買い,前走クラス&年齢,GI&GⅢ・4&5歳重視,2026-06-20_19-35-53.pdf
オールカマー,消し,廃舎,3頭凡走杉山厩舎,2026-06-20_19-35-53.pdf
神戸新聞杯,買い,前走クラス&レース,ダービー組が圧倒,2026-06-20_19-36-00.pdf
神戸新聞杯,消し,前走コース,連対皆無の4場,2026-06-20_19-36-00.pdf
シリウスステークス,買い,年齢,6歳3勝、3〜5歳2勝,2026-06-20_19-36-05.pdf
シリウスステークス,消し,前走コース,危険なコース,2026-06-20_19-36-05.pdf
毎日王冠,買い,前走クラス&レース別成績,10年連続好走のGI戦,2026-06-20_19-36-21.pdf
毎日王冠,消し,年齢別成績（過去40年）,3～5歳重視,2026-06-20_19-36-21.pdf
京都大賞典,買い,種牡馬,ディープインパクトが7勝,2026-06-20_19-37-55.pdf
京都大賞典,買い,前走レース,前走宝塚記念出走馬は[3・4・5・17]。天皇賞[春]などG I組[4・7・5・29]。,2026-06-20_19-37-55.pdf
京都大賞典,消し,低実績！消去ファクター,友道厩舎所属馬,2026-06-20_19-37-55.pdf
サウジアラビアロイヤルカップ,買い,前走着順,1着馬が圧倒的,2026-06-20_19-38-05.pdf
サウジアラビアロイヤルカップ,消し,馬体重,全滅の440キロ未満,2026-06-20_19-38-05.pdf
アイルランドトロフィー,買い,騎手,好調岩田、不調横山,2026-06-20_19-38-11.pdf
アイルランドトロフィー,消し,低実績！消去ファクター,2番人気の単勝,2026-06-20_19-38-11.pdf
スワンステークス,買い,枠番,4勝の2枠が好調,2026-06-20_19-38-19.pdf
スワンステークス,消し,前走中京出走馬,上位人気は6頭とも凡走,2026-06-20_19-38-19.pdf
富士ステークス,買い,母父,クロフネが5頭中4勝,2026-06-20_19-38-24.pdf
富士ステークス,買い,優勝馬の各実績,ヤングマンパワーやエアスピネルなどが優勝馬に含まれる,2026-06-20_19-38-24.pdf
富士ステークス,消し,低実績! 消去ファクター,年1着人気セリフォス、2年前にこのレースで4着、1年前にこのレースで3着の馬は消去対象,2026-06-20_19-38-24.pdf
富士ステークス,消し,前走クラス,好走率低い非優賞,2026-06-20_19-38-24.pdf
アルテミスステークス,買い,前走着順,1着馬が19連対,2026-06-20_19-38-28.pdf
アルテミスステークス,消し,低実績！消去ファクター,戸崎騎手は6頭騎乗も3着以内皆無,2026-06-20_19-38-28.pdf
ファンタジーステークス,買い,前走1&2番人気,人気落ちで勝利することがよくあるケースだ。,2026-06-20_19-38-33.pdf
ファンタジーステークス,消し,新馬戦,上位人気馬は前走新馬戦1着の馬のみ。,2026-06-20_19-38-33.pdf
京王杯2歳ステークス,買い,騎手,5勝マークのルメール,2026-06-20_19-38-39.pdf
京王杯2歳ステークス,消し,前走人気別成績,上位人気30頭の前走は東京5頭、中京2頭、中山1頭=8頭凡走。2勝の函館&小倉、1勝の京都&阪神出走上位人気に注目。,2026-06-20_19-38-39.pdf
京王杯2歳ステークス,消し,前走距離別成績,馬体重450キロ以上の上位人気は[2・1・0・9]と低実績。460～478キロの上位人気は[4・2・0・4]と好調キープ。,2026-06-20_19-38-39.pdf
京王杯2歳ステークス,消し,種牡馬別成績,ロードカナロア、ダイワメジャー、ダイワジャーナル、ディスクリートキャット、タワーオブプロンドン、スワーヴリチャードの種牡馬が上位人気馬を多く輩出している。,2026-06-20_19-38-39.pdf
京王杯2歳ステークス,消し,前走距離,1400mでプラス馬が9頭、マイナス馬が36頭。前走との馬体重増減をみると+0とマイナスの上位人気馬は合計で-1。,2026-06-20_19-38-39.pdf
京王杯2歳ステークス,消し,馬体重,前走距離450キロ以上の上位人気は[2・1・0・9]と低実績。460～478キロの上位人気は[4・2・0・4]と好調キープ。,2026-06-20_19-38-39.pdf
京王杯2歳ステークス,消し,前走人気,過去10年、前走1番人気 [7・4・1・18]、前走2番人気 [1・3・2・20]。前走4番人気以下は[1・3・6・51]と低実績。,2026-06-20_19-38-39.pdf
京王杯2歳ステークス,消し,騎手別成績,ルメール、横山武史、武豊、坂井瑞星、松山弘平、戸崎圭太、浜中俊、岩田望来、藤岡佑介の騎手が上位人気馬を多く騎乗している。,2026-06-20_19-38-39.pdf
アルゼンチン共和国杯,買い,枠番,外枠が7勝マーク,2026-06-20_19-38-43.pdf
アルゼンチン共和国杯,消し,馬体重増減,未勝利の±0,2026-06-20_19-38-43.pdf
みやこステークス,買い,馬体重,単勝は480キロ以上,2026-06-20_19-38-47.pdf
みやこステークス,消し,前走着順,3着以内を重視,2026-06-20_19-38-47.pdf
武蔵野ステークス,買い,年齢,4勝の6歳に注目,2026-06-20_19-38-50.pdf
武蔵野ステークス,消し,馬体重,低好走率の478キロ以下,2026-06-20_19-38-50.pdf
デイリー杯2歳ステークス,買い,キャリア,1&2戦が10勝,2026-06-20_19-38-54.pdf
デイリー杯2歳ステークス,消し,前走競馬場,全滅の東京,2026-06-20_19-38-54.pdf
第62回 福島記念,買い,内枠が9勝マーク,10年中9年で1～4枠が勝利。1枠は8頭（上位人気7頭）が3着以内。,2026-06-20_19-38-58.pdf
第62回 福島記念,消し,生産者,社台ファーム生産馬が[3・1・5・17]に対しノーザンファーム生産馬は[0・2・3・32]、上位人気5頭も優勝皆無。,2026-06-20_19-38-58.pdf
東京スポーツ杯2歳ステークス,買い,前走着順,1着馬が超絶的成績,2026-06-20_19-39-01.pdf
東京スポーツ杯2歳ステークス,消し,前走クラス別成績,10頭全滅1勝クラス,2026-06-20_19-39-01.pdf
京都2歳ステークス,買い,前走着順,全頭3着以内,2026-06-20_19-39-05.pdf
京都2歳ステークス,買い,過去10年で前走1着馬は7勝&3着以内21頭。除外の1頭も前々走1着。,前走0.3秒以上の敗退馬は馬券圏内2頭のみ。,2026-06-20_19-39-05.pdf
京都2歳ステークス,消し,種牡馬,8頭未勝利のエピファネイア,2026-06-20_19-39-05.pdf
京都2歳ステークス,消し,募集枠,連対皆無の5枠,2026-06-20_19-39-05.pdf
京阪杯,買い,枠番,内枠重視の一戦,2026-06-20_19-39-10.pdf
京阪杯,買い,馬体重,7勝の440〜478キロ,2026-06-20_19-39-10.pdf
京阪杯,消し,前走レース,危険な2レース,2026-06-20_19-39-10.pdf
京阪杯,消し,前走コース,低実績の左回り,2026-06-20_19-39-10.pdf
ステイヤーズステークス,買い,人気,圧倒的な1番人気,2026-06-20_19-39-13.pdf
ステイヤーズステークス,消し,馬体重500キロ以上,上位人気は7頭ずつと低好走率、460キロ台で508キロのアイアパローズが8着に敗れた。,2026-06-20_19-39-13.pdf
第79回 鳴尾記念,買い,年齢,3歳馬が6勝マーク,2026-06-20_19-39-16.pdf
第79回 鳴尾記念,消し,枠番,未勝利の1&2枠,2026-06-20_19-39-16.pdf
中日新聞杯,買い,前走距離,2着8頭が2000m,2026-06-20_19-39-24.pdf
中日新聞杯,買い,種牡馬別成績,キングカメハメハ、ディープインパクト、ドレフォンなど,2026-06-20_19-39-24.pdf
中日新聞杯,買い,勝ち馬の各実績,ディサイファ(5)、サトノブレス(1)、メートルダール(2)など,2026-06-20_19-39-24.pdf
中日新聞杯,消し,種牡馬別成績,キングカメハメハ、ディープインパクト、ドレフォンなど,2026-06-20_19-39-24.pdf
ターコイズステークス,買い,年齢,若い馬が好調,2026-06-20_19-39-34.pdf
ターコイズステークス,消し,廃舎,6頭凡走ホルモン,2026-06-20_19-39-34.pdf
阪神カップ,買い,年齢,若い馬ほど優勢,2026-06-20_19-39-40.pdf
阪神カップ,消し,前走クラス,全滅のリストッド&3勝,2026-06-20_19-39-40.pdf
東京大賞典,買い,年齢,5歳が3勝&3着以内7頭,2026-06-20_19-39-45.pdf
東京大賞典,消し,前走レース,過去10年の3着以内30頭中17頭が前走チャンピオンズCに出場。2ケタ着順馬も3頭が好走するなどハイレベルなレースだ,2026-06-20_19-39-45.pdf
